City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,Sisimiut,66.9395,-53.6735,3.52,62,25,4.76,GL,2021-03-28 19:24:43
107,Husavik,66.0449,-17.3389,33.8,47,20,8.05,IS,2021-03-28 19:24:44
108,Dibulla,11.2725,-73.3091,89.85,47,54,15.26,CO,2021-03-28 19:24:44
109,Panama City,8.9936,-79.5197,93.99,46,20,11.5,PA,2021-03-28 19:24:44
110,Ampanihy,-24.7,44.75,69.71,91,0,4.16,MG,2021-03-28 19:24:45
111,Victoria,22.2855,114.1577,75.99,88,9,5.79,HK,2021-03-28 19:22:16
112,Tiksi,71.6872,128.8694,1.85,99,100,1.59,RU,2021-03-28 19:24:45
113,Victor Harbor,-35.5667,138.6167,55.99,98,13,2.33,AU,2021-03-28 19:24:45
114,Portobelo,9.55,-79.65,86.0,63,48,25.99,PA,2021-03-28 19:24:46
115,Northallerton,54.339,-1.4324,53.6,87,75,21.85,GB,2021-03-28 19:24:46
116,Provideniya,64.3833,-173.3,10.0,93,100,22.19,RU,2021-03-28 19:24:46
117,Sebinkarahisar,40.2883,38.4236,19.87,89,22,4.03,TR,2021-03-28 19:24:47
118,Coquimbo,-29.9533,-71.3436,64.4,63,40,9.22,CL,2021-03-28 19:24:47
119,Taltal,-25.4,-70.4833,67.84,68,22,5.23,CL,2021-03-28 19:24:47
120,Orchard Homes,46.8633,-114.0484,62.6,20,1,8.95,US,2021-03-28 19:24:47
121,Kaduna,10.5222,7.4383,82.11,14,1,8.97,NG,2021-03-28 19:24:48
122,Sobolevo,54.4299,31.8996,35.11,93,96,8.5,RU,2021-03-28 19:22:54
123,Pevek,69.7008,170.3133,-22.4,100,63,0.85,RU,2021-03-28 19:24:48
124,Eureka,40.8021,-124.1637,50.0,93,90,5.3,US,2021-03-28 19:22:23
125,Haines Junction,60.7522,-137.5108,23.0,36,7,9.22,CA,2021-03-28 19:24:04
126,Catamarca,-28.4696,-65.7852,79.0,48,8,1.01,AR,2021-03-28 19:21:32
127,Sur,22.5667,59.5289,83.79,39,100,7.87,OM,2021-03-28 19:24:40
128,Del Rio,29.3627,-100.8968,78.8,17,20,11.5,US,2021-03-28 19:24:49
129,Sinop,41.7711,34.8709,39.18,80,6,2.44,TR,2021-03-28 19:24:49
130,Carnarvon,-24.8667,113.6333,73.4,94,0,2.28,AU,2021-03-28 19:24:49
131,Puerto Baquerizo Moreno,-0.9,-89.6,80.6,89,75,4.61,EC,2021-03-28 19:24:50
132,Laguna,38.421,-121.4238,75.0,32,1,5.75,US,2021-03-28 19:24:50
133,Samarai,-10.6167,150.6667,82.13,78,88,10.51,PG,2021-03-28 19:24:12
134,Bengkulu,-3.8004,102.2655,77.56,90,100,4.38,ID,2021-03-28 19:24:51
135,Almaznyy,48.0448,40.045,41.0,75,0,2.24,RU,2021-03-28 19:24:51
136,Ahipara,-35.1667,173.1667,66.15,93,63,7.07,NZ,2021-03-28 19:20:50
137,Avarua,-21.2078,-159.775,80.6,83,75,12.66,CK,2021-03-28 19:24:51
138,Goderich,43.7501,-81.7165,37.4,93,100,12.66,CA,2021-03-28 19:24:52
139,Algarrobo,10.1869,-74.5753,98.01,44,97,1.99,CO,2021-03-28 19:24:52
140,Romny,50.751,33.4747,42.87,67,34,9.35,UA,2021-03-28 19:24:52
141,Portland,45.5234,-122.6762,50.0,66,90,9.22,US,2021-03-28 19:22:30
142,Porbandar,21.6422,69.6093,79.05,73,7,9.13,IN,2021-03-28 19:24:00
143,Bredasdorp,-34.5322,20.0403,62.6,82,100,13.8,ZA,2021-03-28 19:24:53
144,Chokurdakh,70.6333,147.9167,-14.82,99,99,4.47,RU,2021-03-28 19:24:53
145,Pangnirtung,66.1451,-65.7125,5.0,51,90,3.44,CA,2021-03-28 19:24:53
146,Bonavista,48.6499,-53.1147,32.0,51,87,1.14,CA,2021-03-28 19:24:54
147,Camacha,33.0833,-16.3333,64.4,77,20,9.22,PT,2021-03-28 19:24:54
148,San Rafael Del Sur,11.8485,-86.4384,93.2,43,40,20.71,NI,2021-03-28 19:24:54
149,Saint-Augustin,51.226,-58.6502,21.74,64,9,10.09,CA,2021-03-28 19:24:55
150,Hobyo,5.3505,48.5268,80.87,77,68,12.8,SO,2021-03-28 19:24:55
151,Barrow,71.2906,-156.7887,-25.6,68,20,10.36,US,2021-03-28 19:24:55
152,Honiara,-9.4333,159.95,76.3,85,28,5.91,SB,2021-03-28 19:24:56
153,Iqaluit,63.7506,-68.5145,14.0,73,75,13.8,CA,2021-03-28 19:24:56
154,Broome,42.2506,-75.833,54.0,94,90,11.5,US,2021-03-28 19:24:56
155,Hrodna,53.6884,23.8258,36.97,92,30,6.17,BY,2021-03-28 19:24:56
156,Senanga,-16.1167,23.2667,69.01,70,45,5.14,ZM,2021-03-28 19:24:57
157,West Wendover,40.7391,-114.0733,53.6,37,1,8.05,US,2021-03-28 19:24:57
158,Longyearbyen,78.2186,15.6401,32.0,74,20,2.3,SJ,2021-03-28 19:24:57
159,Shingu,33.7333,135.9833,55.22,89,0,7.31,JP,2021-03-28 19:24:58
160,San Patricio,28.017,-97.5169,66.99,52,90,21.85,US,2021-03-28 19:24:58
161,Panalingaan,8.7842,117.4231,78.1,83,58,4.52,PH,2021-03-28 19:24:58
162,Upernavik,72.7868,-56.1549,-16.58,78,31,2.57,GL,2021-03-28 19:24:59
163,Saint-Pierre,-21.3393,55.4781,78.8,78,0,6.91,RE,2021-03-28 19:24:59
164,Frontera,26.9333,-101.45,66.2,37,90,6.91,MX,2021-03-28 19:24:59
165,Sibolga,1.7427,98.7792,76.86,88,100,2.44,ID,2021-03-28 19:24:59
166,Celinac,44.7228,17.3278,46.4,81,0,3.44,BA,2021-03-28 19:25:00
167,Shu,43.5983,73.7614,50.0,81,100,13.0,KZ,2021-03-28 19:25:00
168,Aykhal,66.0,111.5,12.9,99,99,5.39,RU,2021-03-28 19:25:00
169,Lasa,46.6166,10.7002,59.0,56,0,3.44,IT,2021-03-28 19:22:59
170,Ostrovnoy,68.0531,39.5131,35.26,98,100,14.45,RU,2021-03-28 19:25:01
171,Pemangkat,1.1667,108.9667,77.97,85,100,5.41,ID,2021-03-28 19:25:01
172,Geraldton,-28.7667,114.6,68.0,77,0,1.14,AU,2021-03-28 19:23:01
173,Roebourne,-20.7833,117.1333,87.19,46,95,8.43,AU,2021-03-28 19:21:33
174,Havoysund,70.9963,24.6622,35.6,75,20,11.5,NO,2021-03-28 19:25:02
175,Atuona,-9.8,-139.0333,81.14,72,100,17.98,PF,2021-03-28 19:25:02
176,De-Kastri,51.4667,140.7833,30.09,98,100,4.72,RU,2021-03-28 19:25:02
177,Vaitape,-16.5167,-151.75,82.26,73,15,21.56,PF,2021-03-28 19:25:03
178,Corowa,-36.0333,146.3833,45.0,89,0,5.39,AU,2021-03-28 19:25:03
179,Pisco,-13.7,-76.2167,77.0,57,0,16.11,PE,2021-03-28 19:25:03
180,Teguldet,57.3064,88.1667,30.83,98,100,4.76,RU,2021-03-28 19:25:04
181,Cap Malheureux,-19.9842,57.6142,78.01,79,1,1.01,MU,2021-03-28 19:22:51
182,Baykit,61.67,96.37,17.64,99,100,1.39,RU,2021-03-28 19:25:04
183,Ipixuna,-1.7625,-48.8043,78.8,83,75,12.66,BR,2021-03-28 19:25:04
184,Walvis Bay,-22.9575,14.5053,61.0,88,0,5.75,NA,2021-03-28 19:25:05
185,Fortuna,40.5982,-124.1573,48.2,93,90,11.5,US,2021-03-28 19:23:14
186,Nhulunbuy,-12.2333,136.7667,78.8,89,40,11.5,AU,2021-03-28 19:25:05
187,Morro Bay,35.3658,-120.8499,72.0,39,0,1.01,US,2021-03-28 19:23:22
188,Kodiak,57.79,-152.4072,37.4,41,75,4.61,US,2021-03-28 19:23:45
189,Grand Gaube,-20.0064,57.6608,78.01,79,1,0.81,MU,2021-03-28 19:25:06
190,Esperance,-33.8667,121.9,59.0,94,40,5.75,AU,2021-03-28 19:24:26
191,Northam,51.0333,-4.2167,52.0,90,31,14.0,GB,2021-03-28 19:24:51
192,Alihe,50.5667,123.7167,33.78,99,100,4.56,CN,2021-03-28 19:25:06
193,Marquette,46.5333,-87.6335,30.0,77,77,10.0,US,2021-03-28 19:21:03
194,Bethel,41.3712,-73.414,53.6,94,90,5.75,US,2021-03-28 19:24:20
195,Navrongo,10.8956,-1.0921,91.94,12,3,7.31,GH,2021-03-28 19:25:07
196,La Ronge,55.1001,-105.2842,37.4,70,100,8.05,CA,2021-03-28 19:25:07
197,Hulyaypole,47.6653,36.2578,43.86,68,58,4.29,UA,2021-03-28 19:25:07
198,Chapais,49.7834,-74.8492,28.4,100,90,11.5,CA,2021-03-28 19:25:08
199,Voh,-20.9667,164.7,74.62,90,16,3.91,NC,2021-03-28 19:25:08
200,Kangaatsiaq,68.3065,-53.4641,-9.6,67,11,10.94,GL,2021-03-28 19:25:08
201,Krasnoselkup,65.7,82.4667,-5.46,99,7,9.26,RU,2021-03-28 19:25:09
202,Yulara,-25.2406,130.9889,73.4,56,0,11.5,AU,2021-03-28 19:25:09
203,Ribeira Grande,38.5167,-28.7,60.8,77,40,17.27,PT,2021-03-28 19:25:09
204,Hornepayne,49.2138,-84.7705,27.79,81,100,15.99,CA,2021-03-28 19:25:10
205,Valparaiso,-33.0393,-71.6273,62.6,72,20,6.91,CL,2021-03-28 19:21:40
206,Narsaq,60.9167,-46.05,24.8,58,0,6.91,GL,2021-03-28 19:25:10
207,Mahebourg,-20.4081,57.7,77.0,88,20,4.61,MU,2021-03-28 19:20:12
208,Kibala,9.1104,18.3463,89.6,19,0,4.79,TD,2021-03-28 19:25:11
209,Kruisfontein,-34.0033,24.7314,64.0,74,100,4.0,ZA,2021-03-28 19:25:11
210,Bosaso,11.2842,49.1816,78.96,68,5,2.04,SO,2021-03-28 19:25:11
211,Burgos,42.3394,-3.7079,53.6,62,0,6.91,ES,2021-03-28 19:25:12
212,Letka,59.6011,49.4232,21.36,97,53,4.34,RU,2021-03-28 19:25:12
213,Taoudenni,22.6783,-3.9836,86.54,4,100,11.1,ML,2021-03-28 19:25:12
214,Partyzany,46.3314,34.7503,45.37,65,32,7.92,UA,2021-03-28 19:25:12
215,Elk City,35.412,-99.4043,66.2,22,1,3.44,US,2021-03-28 19:25:13
216,Bima,-8.4667,118.7167,76.57,92,100,3.42,ID,2021-03-28 19:25:13
217,Kaabong,3.4836,34.1492,71.35,44,42,5.86,UG,2021-03-28 19:25:13
218,Srandakan,-7.9386,110.2506,76.69,88,38,3.0,ID,2021-03-28 19:23:25
219,Pavilosta,56.8879,21.1859,41.0,81,90,14.97,LV,2021-03-28 19:25:14
220,Meulaboh,4.1363,96.1285,77.36,86,92,3.04,ID,2021-03-28 19:23:11
221,Gao,16.6362,1.637,79.12,9,0,11.3,ML,2021-03-28 19:22:51
222,Souillac,-20.5167,57.5167,77.0,88,20,4.61,MU,2021-03-28 19:25:14
223,Clonakilty,51.6231,-8.8706,52.0,93,90,26.46,IE,2021-03-28 19:25:15
224,Nemuro,43.3236,145.575,41.49,95,100,39.19,JP,2021-03-28 19:25:15
225,Kirakira,-10.4544,161.9205,78.42,84,64,6.6,SB,2021-03-28 19:25:14
226,Padang,-0.9492,100.3543,75.2,94,75,3.44,ID,2021-03-28 19:22:42
227,Masterton,-40.9597,175.6575,63.0,94,100,4.0,NZ,2021-03-28 19:25:15
228,Vila Franca Do Campo,37.7167,-25.4333,59.0,82,75,9.22,PT,2021-03-28 19:25:16
229,Airai,-8.9266,125.4092,60.28,95,100,2.21,TL,2021-03-28 19:25:16
230,Bambous Virieux,-20.3428,57.7575,78.01,88,20,4.61,MU,2021-03-28 19:25:16
231,Tapes,-30.6733,-51.3958,79.57,65,98,3.09,BR,2021-03-28 19:25:17
232,Urumqi,43.801,87.6005,50.0,81,90,4.47,CN,2021-03-28 19:25:17
233,Penzance,50.1186,-5.5371,50.0,87,90,28.77,GB,2021-03-28 19:25:17
234,Shaunavon,49.6501,-108.4181,55.4,30,38,32.21,CA,2021-03-28 19:25:18
235,Lazarev,52.225,141.5131,29.25,93,100,5.37,RU,2021-03-28 19:25:18
236,Buturlino,55.5667,44.8974,22.73,97,69,5.37,RU,2021-03-28 19:25:18
237,Healdsburg,38.6105,-122.8692,72.0,33,0,3.4,US,2021-03-28 19:25:18
238,Arlit,18.7369,7.3853,76.15,9,0,12.35,NE,2021-03-28 19:25:19
239,Namtsy,62.7161,129.6658,-5.8,84,0,2.24,RU,2021-03-28 19:25:19
240,Acajutla,13.5928,-89.8275,91.4,22,20,3.44,SV,2021-03-28 19:25:19
241,Komsomolskiy,40.4272,71.7189,50.0,93,75,2.3,UZ,2021-03-28 19:22:24
242,Kenai,60.5544,-151.2583,23.0,63,75,4.03,US,2021-03-28 19:20:24
243,Bandiagara,14.3501,-3.6104,98.6,9,0,9.22,ML,2021-03-28 19:25:20
244,Salym,60.0625,71.4789,3.79,97,66,4.03,RU,2021-03-28 19:25:20
245,Fort Nelson,58.8053,-122.7002,10.4,85,90,19.57,CA,2021-03-28 19:24:39
246,Saint-Joseph,-21.3667,55.6167,78.8,78,0,6.91,RE,2021-03-28 19:25:21
247,Evensk,61.95,159.2333,-10.86,89,96,4.16,RU,2021-03-28 19:22:34
248,Ust-Nera,64.5667,143.2,-4.56,98,100,3.56,RU,2021-03-28 19:25:21
249,Miraflores,19.2167,-98.8083,84.2,14,20,9.22,MX,2021-03-28 19:24:19
