City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Santa Luzia,BR,-19.7697,-43.8514,68.0,83,0,3.44,clear sky
119,Cidreira,BR,-30.1811,-50.2056,67.93,76,54,10.6,broken clouds
120,Jega,NG,12.2175,4.3792,72.23,11,24,10.25,few clouds
121,Bertoua,CM,4.5833,13.6833,68.88,73,95,3.44,overcast clouds
122,Bahia Blanca,AR,-38.7196,-62.2724,60.71,68,9,4.23,clear sky
123,Payakumbuh,ID,-0.2202,100.6308,85.26,52,99,7.49,overcast clouds
124,Pryazha,RU,61.6926,33.6216,33.8,75,0,8.95,light snow
125,Olafsvik,IS,64.8945,-23.7142,40.71,90,100,19.39,overcast clouds
126,Nalut,LY,30.3333,10.85,54.48,42,0,10.04,clear sky
127,Mananjary,MG,-21.2167,48.3333,76.69,82,78,4.29,light rain
128,Naze,JP,28.3667,129.4833,69.8,94,75,17.27,heavy intensity rain
129,Hamilton,US,39.1834,-84.5333,37.99,44,20,12.66,few clouds
130,Isangel,VU,-19.55,169.2667,80.19,79,100,11.07,overcast clouds
131,Grand Forks,US,47.9417,-97.4337,21.99,67,1,5.75,clear sky
132,Shamary,RU,57.3434,58.2199,32.67,97,100,13.87,snow
133,Bambous Virieux,MU,-20.3428,57.7575,84.0,89,75,3.44,broken clouds
134,Rafaela,AR,-31.2503,-61.4867,62.01,56,0,1.01,clear sky
135,Georgetown,MY,5.4112,100.3354,91.4,62,40,5.75,scattered clouds
136,Kulhudhuffushi,MV,6.6221,73.07,84.96,70,6,11.97,clear sky
137,Vila,PT,42.0304,-8.1588,55.0,86,100,1.99,overcast clouds
138,Cherskiy,RU,68.75,161.3,5.86,89,100,5.64,overcast clouds
139,Erzin,TR,36.9559,36.2,53.01,94,59,9.62,light rain
140,Aklavik,CA,68.2191,-135.0107,-2.2,77,100,8.05,light snow
141,Acapulco,MX,16.8634,-99.8901,79.39,60,34,3.74,scattered clouds
142,Saint-Francois,FR,46.4154,3.9054,42.01,93,0,2.3,clear sky
143,Santa Maria,BR,-29.6842,-53.8069,56.8,95,36,4.32,scattered clouds
144,Oktyabrskoye,RU,43.0645,44.7417,44.6,70,90,4.47,overcast clouds
145,Mragowo,PL,53.8644,21.3051,32.0,93,0,1.14,light snow
146,Huarmey,PE,-10.0681,-78.1522,69.48,87,20,6.15,few clouds
